ParentKey	LineNum	PriceList	Price	Currency
ItemCode	LineNum	PriceList	Price	Currency
11001425376		1	3.449	USD
11001425377		1	4.7173	USD
11001425378		1	14.2439	USD
11001425379		1	3.41	USD
11001425380		1	12.69	USD
11001425381		1	3.32	USD
11001425382		1	6.5548	USD
11001425383		1	2.23	USD
11001425384		1	3.7221	USD
11001425385		1	2.78	USD
11001425386		1	2.705	USD
11001425387		1	4.7608	USD
11001425388		1	4.0368	USD
11001425389		1	11.7681	USD
11001425390		1	1.7	USD
11001425391		1	12.4545	USD
11001425392		1	5.1045	USD
11001425393		1	2.51	USD
11001425394		1	3.68	USD
11001425395		1	3.61	USD
11001425396		1	19.92	USD
11001425397		1	6.2785	USD
11001425398		1	14	USD
11001425399		1	4.62	USD
11001425400		1	7.7917	USD
11001425401		1	6.33	USD
11001425402		1	2.87	USD
11001425403		1	4.44	USD
11001425404		1	5.1503	USD
11001425405		1	5.6048	USD
11001425406		1	5.8822	USD
11001425407		1	4.42	USD
11001425408		1	4.13	USD
11001425409		1	9.489	USD
11001425410		1	2.06	USD
11001425411		1	2.91	USD
11001425412		1	4.8788	USD
11001425413		1	15.4871	USD
11001425414		1	6.7327	USD
11001425415		1	3.21	USD
11001425416		1	5.83	USD
11001425417		1	5.92	USD
11001425418		1	6.86	USD
11001425419		1	5.09	USD
11001425420		1	22.07	USD
11001425421		1	16.8683	USD
11001425422		1	4.83	USD
11001425423		1	5.2447	USD
11001425424		1	8.746	USD
11001425425		1	12.32	USD
11001425426		1	13.46	USD
11001425427		1	11.88	USD
11001425428		1	8.18	USD
11001425429		1	19.6727	USD
11001425430		1	6.1	USD
11001425431		1	7.22	USD
11001425432		1	13.53	USD
11001425433		1	2.76	USD
11001425434		1	3.46	USD
11001425435		1	7.8002	USD
11001425436		1	8.5852	USD
11001425437		1	5.2605	USD
11001425438		1	22.5135	USD
11001425439		1	3	USD
11001425440		1	3.9719	USD
11001425441		1	4.5975	USD
11001425442		1	2.17	USD
11001425443		1	5.23	USD
11001425444		1	5.63	USD
11001425445		1	22.8476	USD
11001425446		1	14.3	USD
11001425447		1	20.6815	USD
11001425448		1	9.57	USD
11001425449		1	14.202	USD
11001425450		1	5.48	USD
11001425451		1	5.63	USD
11001425452		1	10.3675	USD
11001425453		1	5.09	USD
11001425454		1	4.6998	USD
11001425455		1	7.6586	USD
11001425456		1	13.6804	USD
11001425457		1	5.9018	USD
11001425458		1	0	
11001425459		1	14.04	USD
11001425460		1	15.2589	USD
11001425461		1	9.2567	USD
11001425462		1	38.6116	USD
11001425463		1	10.03	USD
11001425464		1	13.86	USD
11001425465		1	18.47	USD
11001425466		1	26.5791	USD
11001425467		1	14.7713	USD
11001425468		1	9.5183	USD
11001425469		1	11.65	USD
11001425470		1	16.6	USD
11001425471		1	7.87	USD
11001425472		1	30.1474	USD
11001425473		1	18.35	USD
11001425474		1	13.02	USD
11001425475		1	21.31	USD
11001425476		1	19.8465	USD
11001425477		1	14.6719	USD
11001505478		1	15.8071	USD
11001425479		1	11.2371	USD
11001425480		1	30.5911	USD
11001425481		1	8.2921	USD
11001425482		1	7.3183	USD
11001425483		1	23.7329	USD
11001425484		1	16.34	USD
11001425485		1	13.39	USD
11001425486		1	35.5784	USD
11001425487		1	37.16	USD
11001425488		1	21.9	USD
11001425489		1	21	USD
11001425490		1	23.7873	USD
11001425491		1	24.34	USD
11001425492		1	32.53	USD
11001425493		1	8.45	USD
11001425494		1	14.69	USD
11001425495		1	18.27	USD
11001425496		1	16.58	USD
11001425497		1	17.4556	USD
11001425498		1	15.4982	USD
11001425499		1	17.1802	USD
11001425500		1	16.6825	USD
11001425501		1	11.9807	USD
11002325502		1	1.95	USD
11002325503		1	28.77	USD
11001425504		1	30.72	USD
11001425505		1	31.06	USD
11001425506		1	32.68	USD
11001425507		1	9.75	USD
11001425508		1	22.11	USD
11001425509		1	40.16	USD
11001425510		1	55.97	USD
11002325511		1	4.65	USD
11002325512		1	8.01	USD
11002325513		1	8.91	USD
11002325514		1	19.56	USD
11002325515		1	7.69	USD
11002325516		1	4.25	USD
11002325517		1	11.87	USD
11002325518		1	7.66	USD
11002325519		1	12.63	USD
100025325520		1	7.08	USD
100025325521		1	15.02	USD
100025325522		1	15.47	USD
100025325523		1	15.47	USD
100025325524		1	15.47	USD
100025325525		1	15.47	USD
100025325526		1	15.47	USD
100025325527		1	15.47	USD
100025325528		1	15.47	USD
100025325529		1	15.47	USD
100025325530		1	15.47	USD
100025325531		1	15.47	USD
100025325532		1	17.3	USD
100025325533		1	17.3	USD
100025325534		1	17.3	USD
100025325535		1	17.3	USD
100025325536		1	21.11	USD
100025325537		1	9.39	USD
11002505538		1	6.9164	USD
11001425539		1	12	USD
11001385540		1	7.32	USD
11001505541		1	3.92	USD
11001425542		1	12.1027	USD
11001425543		1	3.9857	USD
11001425544		1	9.5472	USD
11001425545		1	5.2467	USD
11001425546		1	2.4768	USD
11001425547		1	2.5516	USD
11001425548		1	4.3595	USD
11001505549		1	6.3031	USD
11001425550		1	3.4368	USD
11001425551		1	4.1077	USD
11001425552		1	4.3241	USD
11001425553		1	7.7176	USD
11001425554		1	2.7011	USD
11001425555		1	2.9903	USD
11001425556		1	5.3746	USD
11001425557		1	6.6337	USD
11001425558		1	3.2834	USD
11001425559		1	9.0829	USD
11001425560		1	10.95	USD
11001425561		1	10.1452	USD
11001425562		1	15.2975	USD
11001425563		1	3.3129	USD
11001425564		1	6.0789	USD
11001425565		1	16.4149	USD
11001425566		1	9.23	USD
11001425567		1	4.3654	USD
11001425568		1	5.0874	USD
11001425569		1	7.09	USD
11001425570		1	3.7378	USD
11001425571		1	14.2372	USD
11001425572		1	13.2024	USD
11001425573		1	11.7151	USD
11001425574		1	14.43	USD
11001425575		1	22.1318	USD
11001425576		1	7.3379	USD
11001425577		1	13.3809	USD
11001425578		1	23.0643	USD
11001425579		1	8.5675	USD
11001425580		1	10.05	USD
11001425581		1	8.5419	USD
11001425582		1	15.7972	USD
11001425583		1	19.4013	USD
11001425584		1	19.96	USD
11001425585		1	5.7818	USD
11001425586		1	20.6662	USD
11001425587		1	10.222	USD
11001425588		1	9.9977	USD
11001425589		1	30.8134	USD
11001425590		1	11	USD
11001425591		1	34.91	USD
11001425592		1	6.3799	USD
11001425593		1	6.5235	USD
11001425594		1	9.681	USD
11001425595		1	19.3855	USD
11001425596		1	16.43	USD
11001425597		1	20.9574	USD
11001425598		1	30.7446	USD
11001425599		1	31.3308	USD
11001425600		1	20.4656	USD
11001425601		1	11.542	USD
11001425602		1	17.0327	USD
11001425603		1	32.1669	USD
11001425604		1	30.3393	USD
11001425605		1	27.3254	USD
11001425606		1	23.12	USD
11001425607		1	24.3922	USD
11001425608		1	20.6918	USD
11001425609		1	27.0599	USD
11001425610		1	32.95	USD
11001425611		1	23.9004	USD
11001425612		1	20.52	USD
11001425613		1	25.9306	USD
11001425614		1	41.9482	USD
11001425615		1	35.4641	USD
